poverty_female,poverty_male,poverty_family,Year
19.0,0.0,0.0,2018
0.0,29.0,0.0,2018
177.0,211.0,60.0,2018
115.0,105.0,32.0,2018
30.0,12.0,10.0,2018
44.0,39.0,11.0,2018
727.0,491.0,231.0,2018
3635.0,2630.0,1235.0,2018
3400.0,2596.0,1114.0,2018
273.0,151.0,74.0,2018
2941.0,2368.0,998.0,2018
4965.0,3526.0,1783.0,2018
4530.0,3283.0,1620.0,2018
1331.0,985.0,629.0,2018
1626.0,1082.0,591.0,2018
43.0,54.0,31.0,2018
505.0,238.0,125.0,2018
1154.0,634.0,382.0,2018
0.0,0.0,0.0,2018
3180.0,3005.0,1337.0,2018
588.0,449.0,216.0,2018
53.0,30.0,19.0,2018
109.0,43.0,25.0,2018
17.0,8.0,0.0,2018
97.0,42.0,29.0,2018
368.0,257.0,59.0,2018
0.0,6.0,0.0,2018
259.0,383.0,134.0,2018
117.0,66.0,47.0,2018
17.0,13.0,0.0,2018
64.0,127.0,16.0,2018
268.0,58.0,22.0,2018
104.0,70.0,15.0,2018
0.0,5.0,0.0,2018
15.0,7.0,9.0,2018
0.0,0.0,0.0,2018
40.0,38.0,15.0,2018
1231.0,1130.0,389.0,2018
9.0,33.0,6.0,2018
28.0,51.0,11.0,2018
31.0,18.0,8.0,2018
14.0,29.0,9.0,2018
97.0,64.0,20.0,2018
5.0,23.0,7.0,2018
34.0,10.0,0.0,2018
33.0,0.0,0.0,2018
169.0,12.0,11.0,2018
40.0,2.0,2.0,2018
41.0,42.0,23.0,2018
331.0,266.0,102.0,2018
23.0,15.0,9.0,2018
1168.0,1058.0,334.0,2018
69.0,61.0,21.0,2018
1160.0,563.0,278.0,2018
97.0,106.0,45.0,2018
4.0,9.0,9.0,2018
85.0,67.0,25.0,2018
120.0,139.0,33.0,2018
16.0,23.0,4.0,2018
106.0,87.0,0.0,2018
0.0,4.0,0.0,2018
105.0,60.0,28.0,2018
19.0,8.0,5.0,2018
27.0,0.0,0.0,2018
33.0,18.0,11.0,2018
9.0,10.0,5.0,2018
86.0,48.0,16.0,2018
20.0,89.0,15.0,2018
27.0,26.0,6.0,2018
44.0,61.0,10.0,2018
449.0,354.0,105.0,2018
31.0,32.0,12.0,2018
54.0,40.0,10.0,2018
44.0,14.0,3.0,2018
187.0,266.0,71.0,2018
168.0,136.0,64.0,2018
249.0,219.0,14.0,2018
439.0,270.0,134.0,2018
25.0,21.0,6.0,2018
68.0,62.0,27.0,2018
3413.0,2950.0,1122.0,2018
101.0,102.0,0.0,2018
76.0,72.0,22.0,2018
514.0,261.0,192.0,2018
93.0,99.0,13.0,2018
94.0,56.0,27.0,2018
17.0,18.0,0.0,2018
1609.0,1287.0,647.0,2018
244.0,255.0,60.0,2018
74.0,103.0,22.0,2018
82.0,53.0,18.0,2018
3518.0,1967.0,1146.0,2018
269.0,201.0,81.0,2018
474.0,266.0,88.0,2018
163.0,348.0,86.0,2018
188.0,203.0,67.0,2018
0.0,0.0,0.0,2018
162.0,9.0,0.0,2018
206.0,147.0,43.0,2018
86.0,75.0,15.0,2018
39.0,33.0,9.0,2018
542.0,664.0,274.0,2018
386.0,185.0,57.0,2018
59.0,72.0,25.0,2018
156.0,186.0,39.0,2018
93.0,78.0,22.0,2018
149.0,105.0,42.0,2018
291.0,212.0,71.0,2018
717.0,298.0,143.0,2018
67.0,76.0,17.0,2018
152.0,100.0,58.0,2018
256.0,25.0,52.0,2018
112.0,134.0,50.0,2018
291.0,261.0,87.0,2018
43.0,94.0,11.0,2018
199.0,77.0,43.0,2018
122.0,80.0,47.0,2018
314.0,229.0,106.0,2018
67.0,0.0,34.0,2018
448.0,264.0,111.0,2018
148.0,52.0,52.0,2018
62.0,53.0,20.0,2018
208.0,110.0,50.0,2018
402.0,180.0,134.0,2018
184.0,112.0,60.0,2018
334.0,289.0,52.0,2018
129.0,32.0,31.0,2018
513.0,484.0,176.0,2018
97.0,77.0,20.0,2018
17.0,9.0,9.0,2018
114.0,65.0,25.0,2018
823.0,540.0,265.0,2018
1951.0,1252.0,646.0,2018
123.0,73.0,25.0,2018
